"","exp_stage","image11","image12","click","attn","attn_index","attn_fail","rt","participant_id"
"92","main_trial_23","0922.jpg","1090.jpg","10",0,1,0,1863,"6686247e6177b8b37bdd0463"
"93","main_trial_24","0959.jpg","0400.jpg","10",0,0,0,1265,"6686247e6177b8b37bdd0463"
"94","main_trial_25","0395.jpg","0423.jpg","01",0,1,0,1029,"6686247e6177b8b37bdd0463"
"95","main_trial_26","0264.jpg","0627.jpg","10",0,0,0,2773,"6686247e6177b8b37bdd0463"
"96","main_trial_27","0601.jpg","0542.jpg","10",0,1,0,1266,"6686247e6177b8b37bdd0463"
"97","main_trial_28","0561.jpg","0137.jpg","10",0,0,0,1374,"6686247e6177b8b37bdd0463"
"98","main_trial_29","0415.jpg","attn20.jpg","01",1,0,0,1951,"6686247e6177b8b37bdd0463"
"99","main_trial_30","attn17.jpg","0468.jpg","01",1,1,0,1749,"6686247e6177b8b37bdd0463"
"100","main_trial_31","0717.jpg","0100.jpg","10",0,0,0,1404,"6686247e6177b8b37bdd0463"
"101","main_trial_32","0496.jpg","0068.jpg","10",0,1,0,1415,"6686247e6177b8b37bdd0463"
"102","main_trial_33","1025.jpg","0714.jpg","01",0,1,0,1476,"6686247e6177b8b37bdd0463"
"103","main_trial_34","0200.jpg","0095.jpg","10",0,1,0,1475,"6686247e6177b8b37bdd0463"
"104","main_trial_35","attn31.jpg","0123.jpg","10",1,0,0,2105,"6686247e6177b8b37bdd0463"
"105","main_trial_36","0144.jpg","0925.jpg","01",0,0,0,1300,"6686247e6177b8b37bdd0463"
"106","main_trial_37","0323.jpg","0616.jpg","01",0,1,0,1659,"6686247e6177b8b37bdd0463"
"107","main_trial_38","0911.jpg","attn42.jpg","10",1,1,0,1978,"6686247e6177b8b37bdd0463"
"108","main_trial_39","0846.jpg","0204.jpg","10",0,1,0,1474,"6686247e6177b8b37bdd0463"
"109","main_trial_40","0651.jpg","0265.jpg","01",0,0,0,1658,"6686247e6177b8b37bdd0463"
"110","main_trial_41","0337.jpg","0429.jpg","10",0,0,0,2331,"6686247e6177b8b37bdd0463"
"111","main_trial_42","0579.jpg","attn13.jpg","01",1,0,0,2340,"6686247e6177b8b37bdd0463"
"112","main_trial_43","0524.jpg","0192.jpg","01",0,0,0,1432,"6686247e6177b8b37bdd0463"
"113","main_trial_44","0791.jpg","0350.jpg","01",0,1,0,1383,"6686247e6177b8b37bdd0463"
"114","main_trial_45","0913.jpg","0405.jpg","01",0,1,0,890,"6686247e6177b8b37bdd0463"
"115","main_trial_46","1039.jpg","0408.jpg","01",0,0,0,958,"6686247e6177b8b37bdd0463"
"116","main_trial_47","0573.jpg","0146.jpg","10",0,0,0,1873,"6686247e6177b8b37bdd0463"
"117","main_trial_48","1055.jpg","0831.jpg","01",0,0,0,1225,"6686247e6177b8b37bdd0463"
"118","main_trial_49","0437.jpg","attn03.jpg","01",1,0,0,1605,"6686247e6177b8b37bdd0463"
"119","main_trial_50","0173.jpg","0971.jpg","01",0,0,0,1940,"6686247e6177b8b37bdd0463"
"120","main_trial_51","0739.jpg","0300.jpg","01",0,1,0,1644,"6686247e6177b8b37bdd0463"
"121","main_trial_52","attn10.jpg","0822.jpg","01",1,1,0,1879,"6686247e6177b8b37bdd0463"
"122","main_trial_53","0122.jpg","0329.jpg","01",0,0,0,1495,"6686247e6177b8b37bdd0463"
"123","main_trial_54","attn06.jpg","0869.jpg","10",1,0,0,1737,"6686247e6177b8b37bdd0463"
"124","main_trial_55","0237.jpg","0757.jpg","01",0,0,0,1426,"6686247e6177b8b37bdd0463"
"125","main_trial_56","0607.jpg","0598.jpg","10",0,0,0,1604,"6686247e6177b8b37bdd0463"
"126","main_trial_57","1022.jpg","0964.jpg","10",0,1,0,1337,"6686247e6177b8b37bdd0463"
"127","main_trial_58","0161.jpg","0735.jpg","01",0,1,0,2537,"6686247e6177b8b37bdd0463"
"128","main_trial_59","0768.jpg","0856.jpg","01",0,0,0,1070,"6686247e6177b8b37bdd0463"
"129","main_trial_60","0827.jpg","0086.jpg","10",0,1,0,1265,"6686247e6177b8b37bdd0463"
"130","main_trial_61","0960.jpg","0694.jpg","10",0,1,0,2768,"6686247e6177b8b37bdd0463"
"131","main_trial_62","0924.jpg","0868.jpg","01",0,1,0,1204,"6686247e6177b8b37bdd0463"
"132","main_trial_63","0556.jpg","1026.jpg","01",0,1,0,1436,"6686247e6177b8b37bdd0463"
"133","main_trial_64","0527.jpg","0673.jpg","01",0,1,0,1182,"6686247e6177b8b37bdd0463"
"134","main_trial_65","attn11.jpg","0646.jpg","01",1,1,0,1780,"6686247e6177b8b37bdd0463"
"135","main_trial_66","0997.jpg","0304.jpg","10",0,0,0,1331,"6686247e6177b8b37bdd0463"
"136","main_trial_67","1041.jpg","0885.jpg","01",0,0,0,1074,"6686247e6177b8b37bdd0463"
"137","main_trial_0","0195.jpg","0347.jpg","01",0,1,0,8802,"663a5c30a219723353ab4290"
"138","main_trial_1","0846.jpg","0617.jpg","01",0,0,0,3844,"663a5c30a219723353ab4290"
"139","main_trial_2","0221.jpg","attn18.jpg","01",1,0,0,2663,"663a5c30a219723353ab4290"
"140","main_trial_3","0122.jpg","0919.jpg","01",0,1,0,3666,"663a5c30a219723353ab4290"
"141","main_trial_4","0638.jpg","0248.jpg","10",0,1,0,5828,"663a5c30a219723353ab4290"
"142","main_trial_5","0393.jpg","0344.jpg","10",0,1,0,6243,"663a5c30a219723353ab4290"
"143","main_trial_6","0832.jpg","0197.jpg","01",0,1,0,3548,"663a5c30a219723353ab4290"
"144","main_trial_7","0372.jpg","0201.jpg","01",0,1,0,4699,"663a5c30a219723353ab4290"
