"","exp_stage","image11","image12","click","attn","attn_index","attn_fail","rt","participant_id"
"94","main_trial_25","attn10.jpg","0702.jpg","01",1,1,0,2265,"666b956a6565b9d8f63b3bc0"
"95","main_trial_26","0892.jpg","0063.jpg","10",0,1,0,3871,"666b956a6565b9d8f63b3bc0"
"96","main_trial_27","0129.jpg","0616.jpg","01",0,0,0,2204,"666b956a6565b9d8f63b3bc0"
"97","main_trial_28","0411.jpg","0928.jpg","01",0,1,0,2641,"666b956a6565b9d8f63b3bc0"
"98","main_trial_29","0296.jpg","0526.jpg","01",0,1,0,2174,"666b956a6565b9d8f63b3bc0"
"99","main_trial_30","0333.jpg","0992.jpg","01",0,0,0,2236,"666b956a6565b9d8f63b3bc0"
"100","main_trial_31","attn38.jpg","0247.jpg","01",1,1,0,1982,"666b956a6565b9d8f63b3bc0"
"101","main_trial_32","0491.jpg","0934.jpg","10",0,1,0,3453,"666b956a6565b9d8f63b3bc0"
"102","main_trial_33","0035.jpg","0399.jpg","01",0,0,0,2959,"666b956a6565b9d8f63b3bc0"
"103","main_trial_34","0052.jpg","0207.jpg","01",0,0,0,2524,"666b956a6565b9d8f63b3bc0"
"104","main_trial_35","0421.jpg","1056.jpg","10",0,1,0,2336,"666b956a6565b9d8f63b3bc0"
"105","main_trial_36","0425.jpg","0581.jpg","01",0,0,0,5054,"666b956a6565b9d8f63b3bc0"
"106","main_trial_37","1034.jpg","0828.jpg","10",0,0,0,3004,"666b956a6565b9d8f63b3bc0"
"107","main_trial_38","1098.jpg","0724.jpg","10",0,1,0,2913,"666b956a6565b9d8f63b3bc0"
"108","main_trial_39","0483.jpg","0613.jpg","01",0,0,0,5071,"666b956a6565b9d8f63b3bc0"
"109","main_trial_40","0018.jpg","0356.jpg","01",0,1,0,2975,"666b956a6565b9d8f63b3bc0"
"110","main_trial_41","attn12.jpg","0067.jpg","01",1,1,0,2481,"666b956a6565b9d8f63b3bc0"
"111","main_trial_42","0558.jpg","0046.jpg","10",0,1,0,3108,"666b956a6565b9d8f63b3bc0"
"112","main_trial_43","0568.jpg","attn27.jpg","01",1,0,0,4453,"666b956a6565b9d8f63b3bc0"
"113","main_trial_44","0472.jpg","0093.jpg","10",0,1,0,3255,"666b956a6565b9d8f63b3bc0"
"114","main_trial_45","0119.jpg","0415.jpg","01",0,0,0,2640,"666b956a6565b9d8f63b3bc0"
"115","main_trial_46","0451.jpg","0445.jpg","01",0,1,0,2162,"666b956a6565b9d8f63b3bc0"
"116","main_trial_47","0077.jpg","0652.jpg","01",0,1,0,4987,"666b956a6565b9d8f63b3bc0"
"117","main_trial_48","0975.jpg","attn17.jpg","01",1,0,0,5267,"666b956a6565b9d8f63b3bc0"
"118","main_trial_49","attn47.jpg","0320.jpg","01",1,1,0,1816,"666b956a6565b9d8f63b3bc0"
"119","main_trial_50","0858.jpg","0696.jpg","10",0,1,0,2715,"666b956a6565b9d8f63b3bc0"
"120","main_trial_51","1095.jpg","0564.jpg","10",0,1,0,2147,"666b956a6565b9d8f63b3bc0"
"121","main_trial_52","0289.jpg","0547.jpg","10",0,1,0,3377,"666b956a6565b9d8f63b3bc0"
"122","main_trial_53","0855.jpg","0433.jpg","01",0,1,0,1842,"666b956a6565b9d8f63b3bc0"
"123","main_trial_54","0232.jpg","0985.jpg","01",0,1,0,4208,"666b956a6565b9d8f63b3bc0"
"124","main_trial_55","0267.jpg","0640.jpg","01",0,1,0,3327,"666b956a6565b9d8f63b3bc0"
"125","main_trial_56","0529.jpg","0910.jpg","01",0,1,0,2116,"666b956a6565b9d8f63b3bc0"
"126","main_trial_57","0311.jpg","0670.jpg","10",0,0,0,2835,"666b956a6565b9d8f63b3bc0"
"127","main_trial_58","1050.jpg","0940.jpg","01",0,1,0,3237,"666b956a6565b9d8f63b3bc0"
"128","main_trial_59","0180.jpg","0609.jpg","10",0,0,0,2615,"666b956a6565b9d8f63b3bc0"
"129","main_trial_60","0597.jpg","0265.jpg","01",0,1,0,2531,"666b956a6565b9d8f63b3bc0"
"130","main_trial_61","0878.jpg","0000.jpg","10",0,1,0,2656,"666b956a6565b9d8f63b3bc0"
"131","main_trial_62","0441.jpg","0221.jpg","01",0,1,0,1897,"666b956a6565b9d8f63b3bc0"
"132","main_trial_63","attn42.jpg","0546.jpg","10",1,0,0,1905,"666b956a6565b9d8f63b3bc0"
"133","main_trial_64","0125.jpg","0414.jpg","10",0,1,0,2337,"666b956a6565b9d8f63b3bc0"
"134","main_trial_65","0091.jpg","0708.jpg","01",0,1,0,2467,"666b956a6565b9d8f63b3bc0"
"135","main_trial_66","0064.jpg","0015.jpg","01",0,1,0,2073,"666b956a6565b9d8f63b3bc0"
"136","main_trial_67","0287.jpg","attn30.jpg","10",1,1,0,2841,"666b956a6565b9d8f63b3bc0"
"137","main_trial_0","0428.jpg","0175.jpg","10",0,1,0,6530,"6673beb472e3c2b594f05d39"
"138","main_trial_1","0326.jpg","attn25.jpg","01",1,0,0,4717,"6673beb472e3c2b594f05d39"
"139","main_trial_2","0557.jpg","0935.jpg","10",0,1,0,11231,"6673beb472e3c2b594f05d39"
"140","main_trial_3","1059.jpg","0299.jpg","10",0,1,0,14663,"6673beb472e3c2b594f05d39"
"141","main_trial_4","0368.jpg","0971.jpg","10",0,1,0,11352,"6673beb472e3c2b594f05d39"
"142","main_trial_5","0531.jpg","0940.jpg","10",0,1,0,9165,"6673beb472e3c2b594f05d39"
"143","main_trial_6","1044.jpg","0620.jpg","10",0,0,0,9498,"6673beb472e3c2b594f05d39"
"144","main_trial_7","0241.jpg","0036.jpg","10",0,0,0,10331,"6673beb472e3c2b594f05d39"
"145","main_trial_8","0270.jpg","0260.jpg","01",0,1,0,3982,"6673beb472e3c2b594f05d39"
"146","main_trial_9","0373.jpg","0376.jpg","10",0,0,0,2599,"6673beb472e3c2b594f05d39"
"147","main_trial_10","0772.jpg","1102.jpg","10",0,1,0,4030,"6673beb472e3c2b594f05d39"
"148","main_trial_11","0230.jpg","0697.jpg","10",0,0,0,3515,"6673beb472e3c2b594f05d39"
"149","main_trial_12","0981.jpg","0789.jpg","10",0,1,0,7914,"6673beb472e3c2b594f05d39"
"150","main_trial_13","attn05.jpg","1031.jpg","10",1,0,0,4048,"6673beb472e3c2b594f05d39"
"151","main_trial_14","0332.jpg","1046.jpg","10",0,0,0,11398,"6673beb472e3c2b594f05d39"
"152","main_trial_15","0781.jpg","0125.jpg","10",0,1,0,2730,"6673beb472e3c2b594f05d39"
"153","main_trial_16","0959.jpg","0193.jpg","10",0,1,0,2548,"6673beb472e3c2b594f05d39"
"154","main_trial_17","0571.jpg","attn48.jpg","10",1,1,0,5781,"6673beb472e3c2b594f05d39"
"155","main_trial_18","0618.jpg","0849.jpg","01",0,1,0,10998,"6673beb472e3c2b594f05d39"
"156","main_trial_19","0699.jpg","1096.jpg","10",0,1,0,3464,"6673beb472e3c2b594f05d39"
"157","main_trial_20","0522.jpg","0984.jpg","01",0,1,0,5081,"6673beb472e3c2b594f05d39"
"158","main_trial_21","0780.jpg","0504.jpg","10",0,0,0,3648,"6673beb472e3c2b594f05d39"
"159","main_trial_22","1054.jpg","0066.jpg","10",0,1,0,16432,"6673beb472e3c2b594f05d39"
"160","main_trial_23","0170.jpg","1011.jpg","01",0,1,0,2564,"6673beb472e3c2b594f05d39"
