"","participant_id","exp_stage","image","position","response"
"159","6689a1fe29a96f94df7e4052","main_trial_4","0199.jpg",6,"0"
"160","6689a1fe29a96f94df7e4052","main_trial_4","0956.jpg",7,"1"
"161","6689a1fe29a96f94df7e4052","main_trial_4","0106.jpg",8,"0"
"162","6689a1fe29a96f94df7e4052","main_trial_4","0614.jpg",9,"0"
"163","6689a1fe29a96f94df7e4052","main_trial_4","0298.jpg",10,"1"
"164","6689a1fe29a96f94df7e4052","main_trial_4","0430.jpg",11,"1"
"165","6689a1fe29a96f94df7e4052","main_trial_4","0639.jpg",12,"0"
"166","6689a1fe29a96f94df7e4052","main_trial_5","0059.jpg",1,"0"
"167","6689a1fe29a96f94df7e4052","main_trial_5","0884.jpg",2,"1"
"168","6689a1fe29a96f94df7e4052","main_trial_5","0951.jpg",3,"0"
"169","6689a1fe29a96f94df7e4052","main_trial_5","0426.jpg",5,"0"
"170","6689a1fe29a96f94df7e4052","main_trial_5","1081.jpg",6,"1"
"171","6689a1fe29a96f94df7e4052","main_trial_5","0401.jpg",7,"1"
"172","6689a1fe29a96f94df7e4052","main_trial_5","0299.jpg",8,"0"
"173","6689a1fe29a96f94df7e4052","main_trial_5","0822.jpg",9,"1"
"174","6689a1fe29a96f94df7e4052","main_trial_5","0231.jpg",10,"0"
"175","6689a1fe29a96f94df7e4052","main_trial_5","0133.jpg",11,"0"
"176","6689a1fe29a96f94df7e4052","main_trial_5","0649.jpg",12,"0"
"177","6689a1fe29a96f94df7e4052","main_trial_6","0297.jpg",1,"1"
"178","6689a1fe29a96f94df7e4052","main_trial_6","0573.jpg",2,"0"
"179","6689a1fe29a96f94df7e4052","main_trial_6","0874.jpg",3,"0"
"180","6689a1fe29a96f94df7e4052","main_trial_6","0344.jpg",4,"1"
"181","6689a1fe29a96f94df7e4052","main_trial_6","0912.jpg",5,"0"
"182","6689a1fe29a96f94df7e4052","main_trial_6","0954.jpg",6,"0"
"183","6689a1fe29a96f94df7e4052","main_trial_6","0905.jpg",7,"1"
"184","6689a1fe29a96f94df7e4052","main_trial_6","0570.jpg",8,"1"
"185","6689a1fe29a96f94df7e4052","main_trial_6","0934.jpg",9,"0"
"186","6689a1fe29a96f94df7e4052","main_trial_6","0196.jpg",10,"0"
"187","6689a1fe29a96f94df7e4052","main_trial_6","0546.jpg",11,"0"
"188","6689a1fe29a96f94df7e4052","main_trial_6","0403.jpg",12,"0"
"189","6689a1fe29a96f94df7e4052","main_trial_7","0381.jpg",1,"0"
"190","6689a1fe29a96f94df7e4052","main_trial_7","0777.jpg",2,"0"
"191","6689a1fe29a96f94df7e4052","main_trial_7","0761.jpg",3,"0"
"192","6689a1fe29a96f94df7e4052","main_trial_7","0163.jpg",4,"0"
"193","6689a1fe29a96f94df7e4052","main_trial_7","0811.jpg",5,"1"
"194","6689a1fe29a96f94df7e4052","main_trial_7","1042.jpg",6,"1"
"195","6689a1fe29a96f94df7e4052","main_trial_7","1038.jpg",7,"0"
"196","6689a1fe29a96f94df7e4052","main_trial_7","0024.jpg",8,"0"
"197","6689a1fe29a96f94df7e4052","main_trial_7","0560.jpg",9,"0"
"198","6689a1fe29a96f94df7e4052","main_trial_7","0184.jpg",10,"0"
"199","6689a1fe29a96f94df7e4052","main_trial_7","0536.jpg",11,"1"
"200","6689a1fe29a96f94df7e4052","main_trial_7","1017.jpg",12,"1"
"201","6689a1fe29a96f94df7e4052","main_trial_8","0687.jpg",1,"0"
"202","6689a1fe29a96f94df7e4052","main_trial_8","1079.jpg",2,"0"
"203","6689a1fe29a96f94df7e4052","main_trial_8","0485.jpg",3,"0"
"204","6689a1fe29a96f94df7e4052","main_trial_8","0216.jpg",4,"0"
"205","6689a1fe29a96f94df7e4052","main_trial_8","0456.jpg",5,"1"
"206","6689a1fe29a96f94df7e4052","main_trial_8","0910.jpg",6,"1"
"207","6689a1fe29a96f94df7e4052","main_trial_8","0101.jpg",7,"0"
"208","6689a1fe29a96f94df7e4052","main_trial_8","0568.jpg",8,"0"
"209","6689a1fe29a96f94df7e4052","main_trial_8","0740.jpg",9,"1"
"210","6689a1fe29a96f94df7e4052","main_trial_8","1087.jpg",10,"0"
"211","6689a1fe29a96f94df7e4052","main_trial_8","0942.jpg",11,"1"
"212","6689a1fe29a96f94df7e4052","main_trial_8","0741.jpg",12,"0"
"213","667f852207db0b23543d1ca2","main_trial_0","0405.jpg",1,"0"
"214","667f852207db0b23543d1ca2","main_trial_0","0585.jpg",2,"1"
"215","667f852207db0b23543d1ca2","main_trial_0","1101.jpg",3,"0"
"216","667f852207db0b23543d1ca2","main_trial_0","0358.jpg",4,"1"
"217","667f852207db0b23543d1ca2","main_trial_0","0747.jpg",5,"0"
"218","667f852207db0b23543d1ca2","main_trial_0","0579.jpg",6,"1"
"219","667f852207db0b23543d1ca2","main_trial_0","0089.jpg",7,"0"
"220","667f852207db0b23543d1ca2","main_trial_0","0275.jpg",8,"1"
"221","667f852207db0b23543d1ca2","main_trial_0","0549.jpg",9,"0"
"222","667f852207db0b23543d1ca2","main_trial_0","0650.jpg",10,"0"
