"","participant_id","exp_stage","image","position","response"
"200","672bd5df119bfbb6db80947a","main_trial_7","0938.jpg",12,"1"
"201","672bd5df119bfbb6db80947a","main_trial_8","0537.jpg",1,"0"
"202","672bd5df119bfbb6db80947a","main_trial_8","0662.jpg",2,"0"
"203","672bd5df119bfbb6db80947a","main_trial_8","0254.jpg",3,"0"
"204","672bd5df119bfbb6db80947a","main_trial_8","0434.jpg",4,"0"
"205","672bd5df119bfbb6db80947a","main_trial_8","0439.jpg",5,"0"
"206","672bd5df119bfbb6db80947a","main_trial_8","0851.jpg",6,"0"
"207","672bd5df119bfbb6db80947a","main_trial_8","0053.jpg",7,"0"
"208","672bd5df119bfbb6db80947a","main_trial_8","0602.jpg",8,"1"
"209","672bd5df119bfbb6db80947a","main_trial_8","1041.jpg",9,"0"
"210","672bd5df119bfbb6db80947a","main_trial_8","0857.jpg",10,"1"
"211","672bd5df119bfbb6db80947a","main_trial_8","0448.jpg",11,"1"
"212","672bd5df119bfbb6db80947a","main_trial_8","0824.jpg",12,"1"
"213","675ee6288c0fd12397719878","main_trial_0","0030.jpg",1,"1"
"214","675ee6288c0fd12397719878","main_trial_0","0860.jpg",2,"0"
"215","675ee6288c0fd12397719878","main_trial_0","0561.jpg",3,"0"
"216","675ee6288c0fd12397719878","main_trial_0","0351.jpg",4,"0"
"217","675ee6288c0fd12397719878","main_trial_0","0689.jpg",5,"0"
"218","675ee6288c0fd12397719878","main_trial_0","0597.jpg",6,"1"
"219","675ee6288c0fd12397719878","main_trial_0","0582.jpg",7,"1"
"220","675ee6288c0fd12397719878","main_trial_0","0862.jpg",8,"0"
"221","675ee6288c0fd12397719878","main_trial_0","0719.jpg",9,"0"
"222","675ee6288c0fd12397719878","main_trial_0","0215.jpg",10,"0"
"223","675ee6288c0fd12397719878","main_trial_0","0148.jpg",11,"0"
"224","675ee6288c0fd12397719878","main_trial_0","0207.jpg",12,"1"
"225","675ee6288c0fd12397719878","main_trial_1","0827.jpg",1,"0"
"226","675ee6288c0fd12397719878","main_trial_1","0761.jpg",2,"1"
"227","675ee6288c0fd12397719878","main_trial_1","0253.jpg",3,"1"
"228","675ee6288c0fd12397719878","main_trial_1","0988.jpg",4,"0"
"229","675ee6288c0fd12397719878","main_trial_1","0573.jpg",5,"0"
"230","675ee6288c0fd12397719878","main_trial_1","1019.jpg",6,"1"
"231","675ee6288c0fd12397719878","main_trial_1","0186.jpg",7,"1"
"232","675ee6288c0fd12397719878","main_trial_1","0254.jpg",8,"0"
"233","675ee6288c0fd12397719878","main_trial_1","0399.jpg",9,"0"
"234","675ee6288c0fd12397719878","main_trial_1","0022.jpg",10,"0"
"235","675ee6288c0fd12397719878","main_trial_1","0638.jpg",11,"0"
"236","675ee6288c0fd12397719878","main_trial_1","0845.jpg",12,"0"
"237","675ee6288c0fd12397719878","main_trial_2","1034.jpg",1,"0"
"238","675ee6288c0fd12397719878","main_trial_2","0353.jpg",2,"0"
"239","675ee6288c0fd12397719878","main_trial_2","0679.jpg",3,"1"
"240","675ee6288c0fd12397719878","main_trial_2","0249.jpg",4,"0"
"241","675ee6288c0fd12397719878","main_trial_2","0518.jpg",5,"0"
"242","675ee6288c0fd12397719878","main_trial_2","0278.jpg",7,"0"
"243","675ee6288c0fd12397719878","main_trial_2","0631.jpg",8,"1"
"244","675ee6288c0fd12397719878","main_trial_2","0954.jpg",9,"1"
"245","675ee6288c0fd12397719878","main_trial_2","0475.jpg",10,"0"
"246","675ee6288c0fd12397719878","main_trial_2","1017.jpg",11,"0"
"247","675ee6288c0fd12397719878","main_trial_2","0535.jpg",12,"1"
"248","675ee6288c0fd12397719878","main_trial_3","0348.jpg",1,"1"
"249","675ee6288c0fd12397719878","main_trial_3","0942.jpg",2,"1"
"250","675ee6288c0fd12397719878","main_trial_3","0692.jpg",3,"1"
"251","675ee6288c0fd12397719878","main_trial_3","1023.jpg",4,"0"
"252","675ee6288c0fd12397719878","main_trial_3","0043.jpg",5,"1"
"253","675ee6288c0fd12397719878","main_trial_3","0401.jpg",6,"0"
"254","675ee6288c0fd12397719878","main_trial_3","0847.jpg",7,"0"
"255","675ee6288c0fd12397719878","main_trial_3","0524.jpg",8,"0"
"256","675ee6288c0fd12397719878","main_trial_3","0236.jpg",9,"0"
"257","675ee6288c0fd12397719878","main_trial_3","0027.jpg",10,"0"
"258","675ee6288c0fd12397719878","main_trial_3","0753.jpg",11,"0"
"259","675ee6288c0fd12397719878","main_trial_3","0976.jpg",12,"0"
"260","675ee6288c0fd12397719878","main_trial_4","0499.jpg",1,"1"
"261","675ee6288c0fd12397719878","main_trial_4","0338.jpg",2,"1"
"262","675ee6288c0fd12397719878","main_trial_4","0116.jpg",3,"0"
"263","675ee6288c0fd12397719878","main_trial_4","0088.jpg",4,"0"
"264","675ee6288c0fd12397719878","main_trial_4","0269.jpg",5,"0"
"265","675ee6288c0fd12397719878","main_trial_4","0979.jpg",6,"1"
"266","675ee6288c0fd12397719878","main_trial_4","0421.jpg",7,"0"
"267","675ee6288c0fd12397719878","main_trial_4","0926.jpg",8,"0"
"268","675ee6288c0fd12397719878","main_trial_4","0901.jpg",9,"0"
"269","675ee6288c0fd12397719878","main_trial_4","0062.jpg",10,"0"
"270","675ee6288c0fd12397719878","main_trial_4","0915.jpg",11,"0"
"271","675ee6288c0fd12397719878","main_trial_4","0308.jpg",12,"1"
"272","675ee6288c0fd12397719878","main_trial_5","0104.jpg",1,"0"
"273","675ee6288c0fd12397719878","main_trial_5","0804.jpg",2,"1"
"274","675ee6288c0fd12397719878","main_trial_5","0876.jpg",3,"0"
"275","675ee6288c0fd12397719878","main_trial_5","0042.jpg",4,"0"
"276","675ee6288c0fd12397719878","main_trial_5","0877.jpg",5,"1"
"277","675ee6288c0fd12397719878","main_trial_5","0085.jpg",6,"1"
"278","675ee6288c0fd12397719878","main_trial_5","0110.jpg",7,"0"
"279","675ee6288c0fd12397719878","main_trial_5","0587.jpg",8,"0"
"280","675ee6288c0fd12397719878","main_trial_5","0829.jpg",9,"0"
"281","675ee6288c0fd12397719878","main_trial_5","0112.jpg",10,"0"
"282","675ee6288c0fd12397719878","main_trial_5","0489.jpg",11,"0"
"283","675ee6288c0fd12397719878","main_trial_5","0383.jpg",12,"1"
"284","675ee6288c0fd12397719878","main_trial_6","0745.jpg",1,"0"
"285","675ee6288c0fd12397719878","main_trial_6","0511.jpg",2,"1"
"286","675ee6288c0fd12397719878","main_trial_6","0718.jpg",3,"0"
"287","675ee6288c0fd12397719878","main_trial_6","0820.jpg",4,"0"
"288","675ee6288c0fd12397719878","main_trial_6","1042.jpg",5,"1"
"289","675ee6288c0fd12397719878","main_trial_6","0100.jpg",6,"1"
"290","675ee6288c0fd12397719878","main_trial_6","0118.jpg",7,"0"
"291","675ee6288c0fd12397719878","main_trial_6","0334.jpg",8,"0"
"292","675ee6288c0fd12397719878","main_trial_6","0941.jpg",9,"0"
"293","675ee6288c0fd12397719878","main_trial_6","0633.jpg",10,"1"
"294","675ee6288c0fd12397719878","main_trial_6","0701.jpg",11,"0"
"295","675ee6288c0fd12397719878","main_trial_6","0060.jpg",12,"0"
"296","675ee6288c0fd12397719878","main_trial_7","0538.jpg",1,"0"
"297","675ee6288c0fd12397719878","main_trial_7","0790.jpg",2,"0"
"298","675ee6288c0fd12397719878","main_trial_7","1075.jpg",3,"0"
"299","675ee6288c0fd12397719878","main_trial_7","0123.jpg",4,"1"
"300","675ee6288c0fd12397719878","main_trial_7","0693.jpg",5,"1"
"301","675ee6288c0fd12397719878","main_trial_7","0533.jpg",6,"1"
"302","675ee6288c0fd12397719878","main_trial_7","0584.jpg",7,"1"
"303","675ee6288c0fd12397719878","main_trial_7","0889.jpg",8,"0"
"304","675ee6288c0fd12397719878","main_trial_7","0658.jpg",9,"0"
"305","675ee6288c0fd12397719878","main_trial_7","0470.jpg",10,"0"
"306","675ee6288c0fd12397719878","main_trial_7","0833.jpg",11,"0"
"307","675ee6288c0fd12397719878","main_trial_7","0325.jpg",12,"0"
"308","675ee6288c0fd12397719878","main_trial_8","1076.jpg",1,"0"
"309","675ee6288c0fd12397719878","main_trial_8","1103.jpg",2,"0"
"310","675ee6288c0fd12397719878","main_trial_8","0824.jpg",3,"0"
"311","675ee6288c0fd12397719878","main_trial_8","0861.jpg",4,"1"
"312","675ee6288c0fd12397719878","main_trial_8","0377.jpg",5,"1"
"313","675ee6288c0fd12397719878","main_trial_8","0225.jpg",6,"1"
"314","675ee6288c0fd12397719878","main_trial_8","0065.jpg",7,"1"
"315","675ee6288c0fd12397719878","main_trial_8","0664.jpg",8,"0"
"316","675ee6288c0fd12397719878","main_trial_8","0455.jpg",9,"0"
"317","675ee6288c0fd12397719878","main_trial_8","0237.jpg",11,"0"
